# Startup Sentinel RMS License Manager v8.6.0.0054 Tue May 16 06:17:28 2017  1494926248 Win64 0 3520
2 2 MTg3ODY= Wed Apr 11 15:44:18 2018  1523472258 SOADevelopment v6.0 0 1 0 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - MA== 327309 MTUyMzc5OTU2Nw==
2 2 MTg3ODY= Wed Apr 11 15:46:44 2018  1523472404 SolarLocalProject v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - MQ== 3629685 Mzk1Njk5NA==
2 2 MTg3ODY= Wed Apr 11 15:46:44 2018  1523472404 SolarNativeChecker v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Mg== 625094 NDI1NDc3OQ==
2 2 MTg3ODY= Wed Apr 11 15:46:44 2018  1523472404 SolarNativeRuntime v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Mw== 4313401 NDkzODQ5NQ==
2 2 MTg3ODY= Wed Apr 11 15:46:53 2018  1523472413 IMTK-Development v6.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - NA== 671241 NDk4NDY0Mg==
2 2 MTg3ODY= Wed Apr 11 16:20:17 2018  1523472464 SolarNativeChecker v1.0 2 0 60 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - NQ== 211997 ODgzMjM4
2 2 MTg3ODY= Wed Apr 11 16:20:17 2018  1523472704 SolarNativeRuntime v1.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Ng== 1437400 MTY0OTM5Nw==
2 2 MTg3ODY= Wed Apr 11 16:20:17 2018  1523472558 SOADevelopment v6.0 2 0 300 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - Nw== 786650 MjIyNDA1MA==
2 2 MTg3ODY= Wed Apr 11 16:20:17 2018  1523472704 SolarLocalProject v1.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - OA== 2320231 MzEwNjg4MQ==
2 2 MTg3ODY= Wed Apr 11 16:20:17 2018  1523472713 IMTK-Development v6.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - OQ== 416446 MjczNjY3Nw==
# Shutdown Sentinel RMS License Manager v8.6.0.0054 Wed Apr 11 16:20:17 2018  1523474417 Win64 1204 MTA= 478522
# Startup Sentinel RMS License Manager v8.6.0.0054 Fri Apr 26 05:06:29 2019  1556265989 Win64 6 1652
2 2 MTg3ODY= Fri Apr 26 05:06:54 2019  1556266014 SOADevelopment v6.0 0 1 0 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - MA== 582030 MTU1Njg0ODA0NA==
2 2 MTg3ODY= Fri Apr 26 05:08:36 2019  1556266116 SOADevelopment v6.0 2 0 102 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - MQ== 157755 NzM5Nzg1
# Shutdown Sentinel RMS License Manager v8.6.0.0054 Fri Apr 26 05:08:36 2019  1556266116 Win64 1652 Mg== 189839
# Startup Sentinel RMS License Manager v8.6.0.0054 Fri Apr 26 05:09:12 2019  1556266152 Win64 7 1692
2 2 MTg3ODY= Fri Apr 26 05:09:36 2019  1556266176 SOADevelopment v6.0 0 1 0 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - MA== 518064 MTU1Njc4NDI0MA==
2 2 MTg3ODY= Fri Apr 26 05:24:29 2019  1556267069 SolarNativeRuntime v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - MQ== 897583 MTQxNTY0Nw==
2 2 MTg3ODY= Fri Apr 26 05:27:38 2019  1556267258 SolarNativeChecker v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Mg== 338497 MTIzNjA4MA==
